iter	Passed	Remaining
0	192	192630
1	221	110313
2	249	82915
3	289	72080
4	318	63421
5	342	56746
6	370	52519
7	400	49619
8	430	47406
9	475	47040
10	516	46417
11	540	44502
12	567	43081
13	590	41583
14	615	40439
15	643	39595
16	669	38724
17	703	38368
18	730	37702
19	753	36920
20	782	36491
21	815	36247
22	845	35917
23	882	35884
24	913	35608
25	936	35067
26	961	34655
27	991	34431
28	1019	34135
29	1046	33823
30	1074	33588
31	1100	33294
32	1127	33052
33	1165	33110
34	1198	33050
35	1246	33367
36	1287	33510
37	1324	33524
38	1354	33368
39	1375	33023
40	1402	32810
41	1426	32527
42	1460	32505
43	1486	32308
44	1513	32111
45	1539	31935
46	1573	31905
47	1608	31898
48	1649	32013
49	1677	31876
50	1702	31681
51	1726	31481
52	1756	31381
53	1787	31318
54	1808	31070
55	1832	30894
56	1863	30837
57	1905	30953
58	1930	30788
59	1953	30599
60	1985	30557
61	2016	30507
62	2049	30479
63	2080	30432
64	2111	30370
65	2145	30359
66	2226	31003
67	2282	31278
68	2328	31414
69	2369	31479
70	2410	31545
71	2448	31561
72	2492	31646
73	2521	31555
74	2567	31663
75	2609	31728
76	2638	31632
77	2661	31466
78	2694	31409
79	2729	31386
80	2763	31353
81	2800	31351
82	2845	31440
83	2911	31750
84	2941	31662
85	2976	31635
86	3006	31549
87	3052	31634
88	3086	31596
89	3128	31629
90	3160	31570
91	3190	31492
92	3242	31625
93	3274	31556
94	3315	31582
95	3347	31518
96	3379	31459
97	3413	31418
98	3443	31336
99	3468	31213
100	3507	31223
101	3534	31121
102	3582	31202
103	3626	31244
104	3663	31231
105	3715	31333
106	3748	31281
107	3779	31212
108	3817	31205
109	3850	31152
110	3895	31200
111	3938	31227
112	3980	31249
113	4030	31328
114	4118	31692
115	4185	31892
116	4236	31971
117	4292	32085
118	4346	32180
119	4379	32114
120	4405	32004
121	4432	31901
122	4455	31767
123	4485	31688
124	4505	31540
125	4528	31414
126	4558	31332
127	4579	31197
128	4603	31084
129	4621	30929
130	4639	30773
131	4661	30650
132	4679	30504
133	4697	30355
134	4714	30210
135	4737	30099
136	4759	29979
137	4778	29850
138	4799	29729
139	4817	29591
140	4835	29456
141	4865	29399
142	4890	29310
143	4907	29171
144	4925	29042
145	4941	28904
146	4969	28836
147	4998	28774
148	5025	28702
149	5045	28590
150	5060	28450
151	5075	28318
152	5097	28220
153	5115	28103
154	5133	27983
155	5150	27863
156	5167	27748
157	5184	27627
158	5216	27589
159	5242	27522
160	5263	27429
161	5278	27306
162	5303	27233
163	5326	27152
164	5344	27046
165	5364	26950
166	5383	26852
167	5407	26778
168	5424	26673
169	5453	26627
170	5506	26693
171	5558	26760
172	5598	26761
173	5627	26714
174	5661	26688
175	5698	26679
176	5724	26616
177	5760	26599
178	5815	26674
179	5848	26645
180	5885	26630
181	5907	26550
182	5924	26449
183	5945	26365
184	5963	26271
185	5979	26169
186	6001	26090
187	6024	26020
188	6055	25984
189	6106	26034
190	6150	26052
191	6192	26061
192	6238	26085
193	6275	26074
194	6306	26033
195	6326	25952
196	6347	25872
197	6380	25843
198	6402	25770
199	6440	25761
200	6484	25778
201	6515	25740
202	6549	25712
203	6579	25674
204	6615	25655
205	6639	25589
206	6659	25511
207	6694	25491
208	6733	25483
209	6787	25533
210	6827	25532
211	6884	25590
212	6906	25519
213	6930	25454
214	6952	25385
215	6974	25314
216	6997	25247
217	7021	25187
218	7044	25123
219	7075	25084
220	7106	25050
221	7145	25040
222	7196	25075
223	7229	25046
224	7284	25089
225	7314	25051
226	7341	25001
227	7369	24953
228	7394	24895
229	7416	24828
230	7446	24788
231	7468	24724
232	7497	24680
233	7519	24614
234	7540	24548
235	7561	24478
236	7593	24447
237	7629	24426
238	7663	24400
239	7692	24359
240	7719	24312
241	7743	24253
242	7769	24203
243	7791	24141
244	7818	24094
245	7853	24070
246	7917	24135
247	7970	24169
248	8009	24158
249	8047	24142
250	8105	24187
251	8139	24160
252	8167	24114
253	8190	24055
254	8218	24010
255	8254	23989
256	8297	23989
257	8343	23997
258	8390	24005
259	8461	24082
260	8532	24159
261	8602	24231
262	8653	24248
263	8710	24284
264	8738	24236
265	8763	24182
266	8790	24133
267	8822	24096
268	8848	24045
269	8879	24008
270	8904	23952
