iter	Passed	Remaining
0	6	6429
1	12	6402
2	19	6396
3	25	6370
4	32	6561
5	38	6355
6	45	6464
7	51	6404
8	58	6496
9	64	6368
10	69	6280
11	75	6193
12	80	6129
13	86	6099
14	92	6053
15	98	6028
16	103	5973
17	108	5923
18	114	5918
19	121	5931
20	128	5982
21	133	5954
22	140	5970
23	146	5958
24	151	5924
25	157	5889
26	162	5849
27	167	5817
28	174	5828
29	179	5819
30	186	5814
31	191	5797
32	197	5778
33	202	5759
34	208	5740
35	214	5734
36	219	5715
37	225	5700
38	230	5682
39	236	5669
40	242	5661
41	247	5650
42	253	5632
43	259	5631
44	265	5627
45	272	5641
46	276	5613
47	281	5586
48	287	5572
49	291	5542
50	296	5525
51	302	5509
52	306	5482
53	311	5465
54	316	5444
55	321	5418
56	326	5398
57	331	5382
58	336	5366
59	342	5361
60	348	5368
61	355	5381
62	362	5384
63	368	5390
64	374	5392
65	381	5400
66	388	5408
67	394	5410
68	401	5412
69	407	5407
70	412	5399
71	418	5389
72	423	5381
73	429	5379
74	436	5381
75	443	5389
76	449	5394
77	456	5397
78	462	5388
79	469	5396
80	474	5388
81	481	5385
82	487	5391
83	493	5380
84	498	5369
85	503	5355
86	509	5349
87	515	5341
88	521	5341
89	527	5331
90	532	5323
91	538	5313
92	544	5309
93	550	5301
94	556	5300
95	562	5297
96	568	5289
97	573	5282
98	579	5273
99	585	5272
100	590	5259
101	596	5249
102	601	5240
103	608	5244
104	616	5253
105	621	5244
106	627	5238
107	633	5230
108	638	5222
109	644	5218
110	650	5211
111	656	5207
112	662	5199
113	668	5194
114	673	5186
115	680	5186
116	686	5178
117	692	5174
118	699	5181
119	706	5178
120	712	5172
121	718	5169
122	724	5165
123	730	5160
124	735	5150
125	741	5142
126	746	5133
127	752	5127
128	758	5123
129	764	5116
130	770	5110
131	775	5101
132	781	5095
133	801	5180
134	808	5178
135	815	5183
136	822	5182
137	829	5179
138	834	5170
139	840	5161
140	846	5159
141	852	5150
142	858	5142
143	863	5131
144	869	5126
145	876	5124
146	882	5119
147	888	5115
148	894	5108
149	900	5101
150	905	5092
151	911	5083
152	916	5076
153	922	5066
154	928	5059
155	933	5049
156	938	5039
157	944	5031
158	949	5023
159	955	5014
160	960	5007
161	967	5004
162	990	5086
163	999	5092
164	1006	5092
165	1012	5086
166	1020	5091
167	1027	5088
168	1035	5090
169	1042	5087
170	1048	5085
171	1056	5087
172	1063	5083
173	1068	5072
174	1074	5066
175	1080	5060
176	1086	5050
177	1092	5043
178	1097	5035
179	1103	5028
180	1109	5019
181	1115	5011
182	1120	5003
183	1126	4997
184	1132	4991
185	1138	4984
186	1145	4979
187	1151	4975
